park,image,location,description
Hamilton Grange,None,"New York, NY","Alexander Hamilton created the tools for the success of the United States. From his humble beginnings as an orphan on the Caribbean island of Nevis, he became George Washington's right-hand man. Come visit Hamilton Grange and find out more about this controversial founder and the country home that he built on his Harlem estate."
Harriet Tubman,None,"Auburn, NY","Harriet Tubman was guided by a deep faith and devotion to family, freedom, and community. After emancipating herself and members of her family, she moved them from Ontario, Canada to Fleming and Auburn, New York in 1859. Central New York was a center for progressive thought, abolition, and women’s suffrage where Tubman continued to fight for human rights and dignity until she died in 1913."
Home Of Franklin D Roosevelt,None,"Hyde Park, NY","Home to the 32nd and longest-serving president of the United States, Franklin D. Roosevelt returned to Hyde Park often, drawing on this place to renew his spirit during times of personal and political crisis. Explore the Roosevelt saga in the homes of Franklin and Eleanor Roosevelt, the exhibits at the nation’s first Presidential Library, and over a thousand acres of gardens and trails."
Hudson River Valley,None,"Albany, NY","Maurice D. Hinchey Hudson River Valley National Heritage Area stretches from New York City to Albany. The area's resources exhibit the roles of freedom and dignity in the valley's history, and the historical and contemporary role of commerce. Revolutionary War stories, famous residences, scenic parks and gardens, and landscapes all contribute to the Hudson Valley's beauty and significance."
Lower East Side Tenement Museum,None,"Manhattan, NY","The heart of the museum is a historic tenement, home to an estimated 7,000 people from over 20 nations between 1863 and 1935. The tenement’s cramped living spaces, the lives of past residents and the history of the Lower East Side, contribute to its representation of the immigrant experience. Throughout the year, programs such as walking tours and readings are offered."
Martin Van Buren,None,"Kinderhook, NY","Today, Martin Van Buren is an obscure man, often little more than a footnote. In pre-Civil War America, however, it was impossible not to have an opinion of him. Van Buren was central to the issues of his day: the creation of political parties, and the largest crisis of his time, slavery. The above quote is from Davy Crockett, one of many Americans trying to understand the Red Fox of Kinderhook."
National Parks of New York Harbor,None,"Northern New Jersey and New York City, NY","These 11 sites preserve more than 400 years of American history! We invite you to explore the past and investigate its relevance in our lives today. From the birth of American democracy to the evolution of commerce, harbor defense, ecology and immigration, the breadth of themes commemorated through the National Parks of New York Harbor reflect the richness and diversity of our heritage."
Niagara Falls,None,NY,"Designated by Congress in 2008, the Niagara Falls National Heritage Area stretches from the western boundary of Wheatfield, New York to the mouth of the Niagara River on Lake Ontario, including the communities of Niagara Falls, Youngstown, and Lewiston. The region is home to natural wonders, rich cultural traditions, and nationally significant historical sites."
North Country,None,"Seven States-New York to North Dakota MI,MN,ND,NY,OH,PA,VT,WI","Come to the North Country. Trek the hills and valleys. Stand on the shores of lakes & streams from glaciers 10,000 years before. Clear-flowing water, red/gold of autumn, a fairyland of snow, open prairies, and distant horizons paint the land. Historic sites along the way tell how America settled and grew as a nation. From North Dakota to New York (and soon Vermont), adventure is never far away."
Sagamore Hill,None,"Oyster Bay, NY","Sagamore Hill was the home of Theodore Roosevelt, 26th President of the United States, from 1885 until his death in 1919. During Roosevelt's time in office, his ""Summer White House"" was the focus of international attention. Explore 83 acres of natural surroundings and historic buildings and become inspired by the legacy of one of America's most popular presidents."
Saint Paul's Church,None,"Mount Vernon, NY - 897 South Columbus Avenue, NY","Since 1665, Saint Paul's Church played a vital role in the colonial life of Eastchester, 20 miles north of New York City. Townspeople voted at the nearby Village Green; local militia drilled outside its doors. But the American Revolution changed everything. American, British and Hessian troops tore down the old wooden meetinghouse for firewood and used the unfinished stone chapel as a hospital."
Saratoga,None,"Stillwater, NY","Here, in 1777, during the American War for Independence, American troops battled and beat a British invasion force, marking the first time in world history that a British Army ever surrendered. This crucial victory secured essential foreign recognition and support, instigated world-wide wars, affirmed United States independence, and changed the face of the world."
Statue Of Liberty,None,"Ellis Island, NY","""The Statue of Liberty Enlightening the World"" was a gift of friendship from the people of France to the United States and is recognized as a universal symbol of freedom and democracy. The Statue of Liberty was dedicated on October 28, 1886.  It was designated as a National Monument in 1924.  Employees of the National Park Service have been caring for the colossal copper statue since 1933."
Stonewall,None,NY,"Before the 1960s almost everything about living openly as a lesbian, gay, bisexual, transgender, or queer (LGBTQ) person was illegal. New York City laws against homosexual activities were particularly harsh. The Stonewall Uprising on June 28, 1969 is a milestone in the quest for LGBTQ civil rights and provided momentum for a movement."
Theodore Roosevelt Birthplace,None,"New York, NY","This is the boyhood home of the first U.S. president to be born in New York City. Raised in a townhouse at 28 E. 20th St., Theodore Roosevelt would grow up to be our 26th President and become immortalized on Mount Rushmore. However, he started life as a sickly yet bright boy who exercised to improve his health and began a lifelong passion for the ""strenuous life."""
Theodore Roosevelt Inaugural,None,"Buffalo, NY","As president, Theodore Roosevelt created protections for ordinary citizens, began regulation of big business, and made the US a major force in international affairs. Yet one of the most important presidencies in America's history nearly didn't happen. See the place where a brief, emotional, and improvised ceremony in Buffalo, NY brought TR into office, and forever altered the nation."
Thomas Cole,None,"Catskill, NY","In 1825, America was still a new nation, just forming its own unique identity and traditions. Thomas Cole invented a new style of art, one that Americans could call their own. His landscape paintings launched the art movement known as the Hudson River School.
His groundbreaking achievements took place here in Catskill, New York -- in the ""peaceful shades"" of his beloved home, Cedar Grove."
Upper Delaware,None,"Pike and Wayne (PA) and Delaware, Orange and Sullivan (NY) counties along the Delaware River, NY,PA","Canoe through rapids and quiet pools as the Delaware River winds its way through a valley of swiftly changing scenery or fish amid rolling hills and riverfront villages in one of the finest fishing rivers in the northeastern United States. The clean water of the Delaware, the last major undammed river in the eastern United States, supports a healthy ecosystem and offers tranquility and excitement."
Vanderbilt Mansion,None,"Hyde Park, NY",Built by of one of the first families of wealth in America. Designed by one of the nation's preeminent architects. The Vanderbilt Mansion is a home built expressly for the aristocratic lifestyle.
Washington-Rochambeau Revolutionary Route,None,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC","In 1781, General Rochambeau’s French Army joined forces with General Washington’s Continental Army to fight the British Army in Yorktown, Virginia. With the French Navy in support, the allied armies moved hundreds of miles to become the largest troop movement of the American Revolution. The effort and cooperation between the two sides led to a victory at Yorktown and secured American independence."
Women's Rights,None,"Seneca Falls, NY","Women’s Rights National Historical Park tells the story of the first Women’s Rights Convention held in Seneca Falls, NY on July 19-20,1848.  It is a story of struggles for civil rights, human rights, and equality, global struggles that continue today.  The efforts of women’s rights leaders, abolitionists, and other 19th century reformers remind us that all people must be accepted as equals."
