park,image,location,description
Juan Bautista de Anza,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/CF0F28AD-EBF6-DB81-1999533411D1486E.jpg></img>,"Nogales, AZ to San Francisco, CA, AZ,CA","""¡Vayan Subiendo!""(""Everyone mount up!"") was the rousing call from Juan Bautista de Anza. In 1775-76, he led some 240 men, women, and children on an epic journey to establish the first non-Native settlement at San Francisco Bay. Today, the 1,200-mile Juan Bautista de Anza National Historic Trail connects history, culture, and outdoor recreation from Nogales, Arizona, to the San Francisco Bay Area."
Lassen Volcanic,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/86FF8963-155D-4519-3E10C9FBC885D007.jpg></img>,"Mineral, CA","Lassen Volcanic National Park is home to steaming fumaroles, meadows freckled with wildflowers, clear mountain lakes, and numerous volcanoes. Jagged peaks tell the story of its eruptive past while hot water continues to shape the land."
Lava Beds,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/8D69923C-1DD8-B71C-0E546CCF859089AF.jpg></img>,"Tulelake, CA","Lava Beds National Monument is a land of turmoil, both geological and historical. Over the last half-million years, volcanic eruptions on the Medicine Lake shield volcano have created a rugged landscape dotted with diverse volcanic features. More than 800 caves, Native American rock art sites, historic battlefields and campsites, and a high desert wilderness experience await you!"
Manzanar,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/EF6C89F3-1DD8-B71C-0E05CED6D13C6F74.jpg></img>,"Independence, CA","In 1942, the United States government ordered more than 110,000 men, women, and children to leave their homes and detained them in remote, military-style camps. Manzanar War Relocation Center was one of ten camps where Japanese American citizens and resident Japanese aliens were incarcerated during World War II."
Mojave,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/7879EC94-155D-4519-3E3960BE5790E223.jpg></img>,"Southern California between I-15 and I-40; headquarters in Barstow, CA","Singing sand dunes, cinder cone volcanoes, a large Joshua tree forest, and carpets of spring wildflowers are all found within this 1.6-million-acre park. A visit to its canyons, mountains, and mesas will reveal long-abandoned mines, homesteads, and rock-walled military outposts. Located between Los Angeles and Las Vegas, Mojave provides serenity and solitude from major metropolitan areas."
Muir Woods,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/3DC8C964-F2C6-2D2B-5128AB6A1D3C951C.jpg></img>,"Mill Valley, CA","Walk among old growth coast redwoods, cooling their roots in the fresh water of Redwood Creek and lifting their crowns to reach the sun and fog. Federally protected as a National Monument since 1908, this primeval forest is both refuge and laboratory, revealing our relationship with the living landscape. What will you discover in Muir Woods?"
Old Spanish,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/8CB464D1-1DD8-B71C-0E13F2655FF692F8.jpg></img>,"AZ,CA,CO,NV,NM,UT","Follow the routes of mule pack trains across the Southwest on the Old Spanish National Historic Trail between Santa Fe, New Mexico, and Los Angeles, California. New Mexican traders moved locally produced merchandise across what are now six states to exchange for mules and horses."
Pinnacles,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/140F1849-1DD8-B71B-0BD25C79625EE75B.jpg></img>,"Paicines, CA","Some 23 million years ago multiple volcanoes erupted, flowed, and slid to form what would become Pinnacles National Park. What remains is a unique landscape. Travelers journey through chaparral, oak woodlands, and canyon bottoms. Hikers enter rare talus caves and emerge to towering rock spires teeming with life: prairie and peregrine falcons, golden eagles, and the inspiring California condor."
Point Reyes,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/F4C26BB3-155D-4519-3EBE44A3038BD2AA.jpg></img>,"Point Reyes, CA","From its thunderous ocean breakers crashing against rocky headlands and expansive sand beaches to its open grasslands, brushy hillsides, and forested ridges, Point Reyes offers visitors over 1500 species of plants and animals to discover. Home to several cultures over thousands of years, the Seashore preserves a tapestry of stories and interactions of people. Point Reyes awaits your exploration."
Pony Express,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/E752B885-155D-451F-67B0961742E4F0BF.jpg></img>,"Various States CA,CO,KS,MO,NE,NV,UT,WY",It is hard to believe that young men once rode horses to carry mail from Missouri to California in the unprecedented time of only 10 days. This relay system along the Pony Express National Historic Trail in eight states was the most direct and practical means of east-west communications before the telegraph.
Port Chicago Naval Magazine,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/BB8A00CD-C474-4D1B-4D3BB90631ACA443.jpg></img>,"Concord Naval Weapons Station, CA","On the evening of July 17, 1944, residents in the San Francisco east bay area were jolted awake by a massive explosion that cracked windows and lit up the night sky. At Port Chicago Naval Magazine, 320 men were instantly killed when two ships being loaded with ammunition for the Pacific theater troops blew up. It was WWII's worst home front disaster."
Presidio of San Francisco,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/E7B033A7-1DD8-B71C-0E40CE3B3F7A3896.jpg></img>,"San Francisco, CA","For 218 years, the Presidio served as an army post for three nations. World and local events, from military campaigns to World Fairs and earthquakes, left their mark. Come enjoy the history and the natural beauty of the Presidio. Explore centuries of architecture. Reflect in a national cemetery. Walk along an historic airfield, through forests or to beaches, and admire spectacular vistas."
Redwood,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/8D09E37E-1DD8-B71C-0E8C214A613FB9BC.jpg></img>,"Del Norte & Humboldt counties , CA","Most people know Redwood as home to the tallest trees on Earth. But the parks also protect vast prairies, oak woodlands, wild riverways, and nearly 40 miles of rugged coastline. People have lived in this verdant landscape since time immemorial. Together, the National Park Service and California State Parks are managing and restoring these lands for the inspiration, enjoyment, and education of all."
Rosie the Riveter WWII Home Front,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/B8839227-A7B6-5DE1-6544B1FBF6CA0456.jpg></img>,"Richmond, CA","Explore and honor the efforts and sacrifices of American civilians on the World War II home front.  Find out how they lived, worked and got along. Many faces, many stories, many truths weave a complex tapestry of myths and realities from this time of opportunity and loss."
San Francisco Maritime,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/F4484F0B-1DD8-B71C-0E72B97784BC6E34.jpg></img>,"San Francisco, CA","Located in the Fisherman's Wharf neighborhood, San Francisco Maritime National Historical Park offers visitors the sights, sounds, smells and stories of Pacific Coast maritime history. The Park includes a magnificent fleet of historic ships, a Visitor Center, Maritime Museum, Maritime Research Center, and Aquatic Park Historic District."
Santa Monica Mountains,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/0A579407-B5D5-B5CA-73AD48B343DC7235.jpg></img>,"Thousand Oaks, CA","Hidden in plain sight from Los Angeles, the Santa Monica Mountains offer easy access to surprisingly wild places. Experience the famous beaches of Malibu or explore more than 500 miles of trails. The park abounds with historical and cultural sites, from old movie ranches to Native American centers. What will you and your family discover?"
Sequoia & Kings Canyon,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/1D2F4113-1DD8-B71B-0B333A69FC95D0AD.jpg></img>,"In the southern Sierra Nevada in Tulare and Fresno counties, CA","This dramatic landscape testifies to nature's size, beauty, and diversity—huge mountains, rugged foothills, deep canyons, vast caverns, and the world's largest trees. The parks lie side by side in the southern Sierra Nevada east of the San Joaquin Valley. Weather varies a lot by season and elevation, which ranges from 1,370' to 14,494'."
Tule Lake,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/23A27A61-1DD8-B71C-0E485D8B9EB7564A.jpg></img>,"Tulelake, CA","The Tule Lake National Monument includes both the the Tule Lake Segregation Center, the largest and most controversial of the sites where Japanese Americans were incarcerated during World War II, and Camp Tulelake, which was first a Civilian Conservation Corps camp, then an additional facility to detain Japanese Americans, and finally a prisoner of war camp."
Whiskeytown,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/61AEEBCB-DBB6-0FA4-C2C0F50D21EDB7CD.jpg></img>,"Whiskeytown, CA","Whiskeytown Lake’s crystal-clear water is perhaps the most recognized feature of the park. However, water-based recreation is only a part of what the 42,000-acre Whiskeytown National Recreation Area (NRA) has to offer. Visit waterfalls, hike through rugged mountains, explore California Gold Rush history, and observe post-fire ecology in action. Your national park is calling..."
Yosemite,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/F482AF4F-1DD8-B71B-0B5C614D4B57121F.jpg></img>,"the Sierra Nevada, CA","Not just a great valley, but a shrine to human foresight, the strength of granite, the power of glaciers, the persistence of life, and the tranquility of the High Sierra.
First protected in 1864, Yosemite National Park is best known for its waterfalls, but within its nearly 1,200 square miles, you can find deep valleys, grand meadows, ancient giant sequoias, a vast wilderness area, and much more."
